ID,Xcoord.(m),Area(m2),Young's Modulus(MPa),Moment of Inertia(m4),Per unit mass(kg/m)
1,0,8.968,36700,10.09,29566
2,0.508474576271186,8.968,36700,10.09,29566
3,1.01694915254237,8.968,36700,10.09,29566
4,1.52542372881356,8.968,36700,10.09,29566
5,2.03389830508475,8.968,36700,10.09,29566
6,2.54237288135593,8.968,36700,10.09,29566
7,3.05084745762712,8.968,36700,10.09,29566
8,3.5593220338983,8.968,36700,10.09,29566
9,4.06779661016949,8.968,36700,10.09,29566
10,4.57627118644068,8.968,36700,10.09,29566
11,5.08474576271186,8.968,36700,10.09,29566
12,5.59322033898305,8.968,36700,10.09,29566
13,6.10169491525424,8.968,36700,10.09,29566
14,6.61016949152542,8.968,36700,10.09,29566
15,7.11864406779661,8.968,36700,10.09,29566
16,7.6271186440678,8.968,36700,10.09,29566
17,8.13559322033898,8.968,36700,10.09,29566
18,8.64406779661017,8.968,36700,10.09,29566
19,9.15254237288136,8.968,36700,10.09,29566
20,9.66101694915254,8.968,36700,10.09,29566
21,10.1694915254237,8.968,36700,10.09,29566
22,10.6779661016949,8.968,36700,10.09,29566
23,11.1864406779661,8.968,36700,10.09,29566
24,11.6949152542373,8.968,36700,10.09,29566
25,12.2033898305085,8.968,36700,10.09,29566
26,12.7118644067797,8.968,36700,10.09,29566
27,13.2203389830508,8.968,36700,10.09,29566
28,13.728813559322,8.968,36700,10.09,29566
29,14.2372881355932,8.968,36700,10.09,29566
30,14.7457627118644,8.968,36700,10.09,29566
31,15.2542372881356,8.968,36700,10.09,29566
32,15.7627118644068,8.968,36700,10.09,29566
33,16.271186440678,8.968,36700,10.09,29566
34,16.7796610169492,8.968,36700,10.09,29566
35,17.2881355932203,8.968,36700,10.09,29566
36,17.7966101694915,8.968,36700,10.09,29566
37,18.3050847457627,8.968,36700,10.09,29566
38,18.8135593220339,8.968,36700,10.09,29566
39,19.3220338983051,8.968,36700,10.09,29566
40,19.8305084745763,8.968,36700,10.09,29566
41,20.3389830508475,8.968,36700,10.09,29566
42,20.8474576271186,8.968,36700,10.09,29566
43,21.3559322033898,8.968,36700,10.09,29566
44,21.864406779661,8.968,36700,10.09,29566
45,22.3728813559322,8.968,36700,10.09,29566
46,22.8813559322034,8.968,36700,10.09,29566
47,23.3898305084746,8.968,36700,10.09,29566
48,23.8983050847458,8.968,36700,10.09,29566
49,24.4067796610169,8.968,36700,10.09,29566
50,24.9152542372881,8.968,36700,10.09,29566
51,25.4237288135593,8.968,36700,10.09,29566
52,25.9322033898305,8.968,36700,10.09,29566
53,26.4406779661017,8.968,36700,10.09,29566
54,26.9491525423729,8.968,36700,10.09,29566
55,27.4576271186441,8.968,36700,10.09,29566
56,27.9661016949153,8.968,36700,10.09,29566
57,28.4745762711864,8.968,36700,10.09,29566
58,28.9830508474576,8.968,36700,10.09,29566
59,29.4915254237288,8.968,36700,10.09,29566
60,30,8.968,36700,10.09,29566
